"","season","name","team","school","jersey","position","offensive_snaps","offensive_grade","defensive_snaps","defensive_grade","st_snaps","st_grade"
"1",2020,"Shane Buechele","smu-mustangs","SMU","07","QB",763,88.1,NA,NA,2,NA
"2",2020,"Joshua McMillon","alabama-crimson-tide","ALABAMA","D40","LB",11,60.4,40,76.9,16,77.4
"3",2020,"Cole Prudhomme","louisiana-ragin-cajuns","LA LAFAYET","61","G",20,58.2,NA,NA,2,60
"4",2020,"Garrett Hirsch","louisiana-monroe-warhawks","LA MONROE","54","C",468,52,NA,NA,5,60
"5",2020,"Raleigh Webb","citadel-bulldogs","CITADEL","22","WR",170,61.2,NA,NA,40,60.5
"6",2020,"Brandon Rainey","citadel-bulldogs","CITADEL","16","QB",147,40.5,NA,NA,NA,NA
"7",2020,"Ryan Renick","texas-am-aggies","TEXAS A&M","46","TE",147,56,NA,NA,50,60.9
"8",2020,"Evan Fairs","virginia-tech-hokies","VA TECH","14","WR",104,59.2,NA,NA,4,60.9
"9",2020,"Cole Strange","chattanooga-mocs","CHATTNOOGA","69","G",67,64,NA,NA,2,60.5
"10",2020,"Chris Hughes","kansas-jayhawks","KANSAS","76","G",320,64.3,NA,NA,15,61.6
"11",2020,"Prince Howard-Whitaker","citadel-bulldogs","CITADEL","67","T",152,45.9,NA,NA,9,61.4
"12",2020,"Kwamie Lassiter II","kansas-jayhawks","KANSAS","08","WR",593,67.8,NA,NA,61,54.9
"13",2020,"Kameron McQueen","kansas-jayhawks","KANSAS","81","WR",5,57.3,NA,NA,56,76.5
"14",2020,"Conner Krieger","mercer-bears","MERCER","60","T",24,53.7,NA,NA,NA,NA
"15",2020,"Quincy Jountti","usc-trojans","USC","27","HB",2,55.1,NA,NA,74,57.2
"16",2020,"Beau Morris","smu-mustangs","SMU","78","T",711,65,NA,NA,50,64.4
"17",2020,"Brady White","memphis-tigers","MEMPHIS","03","QB",711,70,NA,NA,6,60
"18",2020,"Zach Smith","tulsa-golden-hurricane","TULSA","11","QB",448,68.5,NA,NA,1,NA
"19",2020,"Jared Atkinson","baylor-bears","BAYLOR","16","WR",94,56.2,NA,NA,20,74.6
"20",2020,"Johnny Huntley","liberty-flames","LIBERTY","00","TE",424,58.2,NA,NA,27,60.1
"21",2020,"Aaron Young","florida-atlantic-owls","FAU","13","WR",69,65.9,NA,NA,48,65
"22",2020,"Zach Rasmussen","louisiana-monroe-warhawks","LA MONROE","82","TE",10,80.4,NA,NA,114,60
"23",2020,"David Curry","georgia-tech-yellow-jackets","GA TECH","D06","LB",2,60,676,58,107,71.1
"24",2020,"Braylon Jones","houston-cougars","HOUSTON","52","G",441,74.6,NA,NA,3,NA
"25",2020,"D'Eriq King","miami-fl-hurricanes","MIAMI FL","01","QB",663,90.8,NA,NA,3,NA
"26",2020,"Trey Smith","wyoming-cowboys","WYOMING","07","HB",148,81.4,NA,NA,15,44.1
"27",2020,"Ray Thomas-Ishman","buffalo-bulls","BUFFALO","71","G",73,70.7,NA,NA,NA,NA
"28",2020,"Chris Evans","michigan-wolverines","MICHIGAN","09","HB",93,65.9,NA,NA,10,61.7
"29",2020,"Nate Schoenle","michigan-wolverines","MICHIGAN","81","WR",1,60,NA,NA,92,66.3
"30",2020,"Kekoa Crawford","california-golden-bears","CAL","11","WR",229,64.6,NA,NA,NA,NA
"31",2020,"Daniel Crawford","northern-illinois-huskies","N ILLINOIS","88","TE",300,56.7,NA,NA,4,60
"32",2020,"Bennett Skowronek","notre-dame-fighting-irish","NOTRE DAME","11","WR",401,65.4,NA,NA,3,59.9
"33",2020,"Demario McCall","ohio-state-buckeyes","OHIO STATE","03","HB",9,66.6,NA,NA,30,50.5
"34",2020,"Justin Hilliard","ohio-state-buckeyes","OHIO STATE","D47","LB",1,60,80,84.2,35,60.5
"35",2020,"Brenden Schooler","texas-longhorns","TEXAS","14","WR",145,67,NA,NA,78,69.7
